idx	bleu	src_line	hyp_line	ref_line	source	hyp	ref
1	2.49	1	1	TV Channel 7FE4, 0420, 6CC5	04/28T09:50:02 Event 7fe4/0420/6cc5  Fuji TV
2	8.51	2	2	04/28 (Mon) 09:50:00 - 11:30:00	04 / 28
3	1.39	3	3	"Non-stop! [Kikakunin Kakeba no Neko Super Meeting] - Minato Higuchi's focus, with Toshio Nakamura's three-year-old son playing a child-like face."	Nonstop! I went to the super Conference
4	2.42	4	4	Nico Cruise Conference arrives, focusing on Lina Otsuka's focus: "At first I was thinking of death…" Shizuka Ikeda returns in live broadcast at Tsurugaoka Studio, and three-year-old fatherless children appear with a childlike face.	I went back to Nikko Ko conference, and Yukiko Kobayashi's "the death is ready..."
5	0.00	10	5	Good morning!	=== Caption: , jpn
6	0.00	11	6	"Start!" began.	04/28T09:50:02 === language: jpn
7	0.00	12	7	This week's "Sukiya Voice" post theme is	04/28T09:50:05 === language: ---
8	0.00	13	8	My childhood memories.	04/28T09:50:05 === language: ---
9	0.00	14	9	Please send your QR codes to everyone, please.	04/28T09:50:05 === language: jpn
10	0.00	15	10	Sure, what would you like me to translate?	04/28T09:50:16 ≫ Good morning.
11	6.77	16	11	"April 28th, today too…" "No stop!"	04/28T09:50:19 ≫「 Nonstop! "
12	2.43	17	12	"First Friday, 'The Movie: Paris Piloted' on Tuesday"	04/28T09:50:21 ≫ The voice of this week's contribution theme is
13	3.82	18	13	Welcome to the first stage of the festival!	04/28T09:50:24  GW of memories.
14	0.00	19	14	Takahiro, Akiko Sato	04/28T09:50:27  Please read from the QR code displayed by everyone.
15	2.78	20	15	The guests appeared.	04/28T09:50:30  Let's get together.
16	1.45	21	16	I'm going to war!	04/28T09:50:32 ≫ April 28, today. Nonstop!
17	0.00	22	17	The character of Zhuge Liang, played by Takeshi Kitano, has transformed into a modern version.	04/28T09:50:38 ≫ Friday night in Paris
18	2.53	23	18	The amateur singer, Jessi.	04/28T09:50:40  The first stage greeting is done
19	0.00	24	19	To lead the army and use music as a means of peacekeeping.	04/28T09:50:47  Dean fugioka, by ujiroishi
20	1.68	25	20	Dramatic entertainment film.	04/28T09:50:48  Maimori Miyano and others appeared.
21	2.32	26	21	"Non-stop!" is directed by Takashi Miike and Takeshi Amano.	04/28T09:50:53 ≫ I decided to fight in music. In the mage!
22	0.00	27	22	Directly confronted with four performers.	04/28T09:50:59 ≫ Mukaisho performed by Mukai
23	0.00	28	23	One of the highlights is live scenes.	04/28T09:51:03  An amateur singer who plays
24	0.00	29	24	Mei no kōkai ni Katsuya Shiga ga, Yuki Yamamoto ga, etc.	04/28T09:51:07  To become a military man and aim at the peace of the earth
25	3.80	30	25	A large number of musicians have gathered.	04/28T09:51:09  Doggie entertainment movie.
26	2.79	31	26	I'm also mentioned in the news.	04/28T09:51:17 「 Nonstop! Mr. Mukai
27	0.00	32	27	Here, for the sake of Parisian cinema	04/28T09:51:19  I hit four performers directly.
