idx	bleu	src_line	hyp_line	ref_line	source	hyp	ref
1	10.52	1	1	1	04/28T09:50:02 Event 7fe4/0420/6cc5 フジテレビ 081	Friday, April 28 at 9:50 PM, Event 7FE4/0420/6CC5 FJTV 081	04/28T09:50:02 Event 7fe4/0420/6cc5  Fuji TV
2	8.51	2	2	2	04/28（月）09:50:00～11:30:00	04/28 (Mon) 09:50:00 - 11:30:00	04 / 28
3	1.39	3	3	3	ノンストップ！【ニコニコ超会議に降臨小林幸子密着▽出演三浦大知３児パパ素顔】	"Non-stop! [Kikakunin Kakeba no Neko Super Meeting] - Minato Higuchi's focus, with Toshio Nakamura's three-year-old son playing a child-like face."	Nonstop! I went to the super Conference
4	2.42	4	4	4	ニコニコ超会議に降臨小林幸子密着▽「一時は死を覚悟…」ささきいさおが復帰ライブ▽三浦大知スタジオ登場３児パパ素顔▽向井理	Nico Cruise Conference arrives, focusing on Lina Otsuka's focus: "At first I was thinking of death…" Shizuka Ikeda returns in live broadcast at Tsurugaoka Studio, and three-year-old fatherless children appear with a childlike face.	I went back to Nikko Ko conference, and Yukiko Kobayashi's "the death is ready..."
5	28.09	5	5	5	=== Caption: , jpn	Caption: , japanese	=== Caption: , jpn
6	50.09	6	6	6	04/28T09:50:02 === language: jpn	04:28:09:02 === language: en	04/28T09:50:02 === language: jpn
7	31.65	7	7	7	04/28T09:50:05 === language: ---	14:28:05 === time:	04/28T09:50:05 === language: ---
8	31.65	8	8	8	04/28T09:50:05 === language: ---	14:28:05 === time:	04/28T09:50:05 === language: ---
9	49.20	9	9	9	04/28T09:50:05 === language: jpn	14:28:05 === language: en	04/28T09:50:05 === language: jpn
10	3.82	10	10	10	04/28T09:50:16 ≫おはようございます。	Good morning!	04/28T09:50:16 ≫ Good morning.
11	8.23	11	11	11	04/28T09:50:19 ≫「ノンストップ！」始まりました。	"Non-stop!" started at 04:28 UTC+09:50.	04/28T09:50:19 ≫「 Nonstop! "
12	3.07	12	12	12	04/28T09:50:21 ≫今週のせきららボイスの投稿テーマは	Sunday's Sukiya Voice post theme is	04/28T09:50:21 ≫ The voice of this week's contribution theme is
13	4.41	13	13	13	04/28T09:50:24 思い出のＧＷです。	Dreams of Gw have been born.	04/28T09:50:24  GW of memories.
14	5.17	14	14	14	04/28T09:50:27 表示されているＱＲコードから皆さん、ぜひ投稿してください。	Please send your QR code images to everyone, please!	04/28T09:50:27  Please read from the QR code displayed by everyone.
15	3.75	15	15	15	04/28T09:50:30 それでは参りましょうか。	Sure, here is the translation from Japanese to English:	04/28T09:50:30  Let's get together.
16	2.61	16	17	16	04/28T09:50:32 ≫４月２８日、今日も…。≫「ノンストップ！」。	"Okay, do you want to come over?"	04/28T09:50:32 ≫ April 28, today. Nonstop!
17	0.00	17	18	17	04/28T09:50:38 ≫先週金曜日、「パリピ孔明ＴＨＥ　ＭＯＶＩＥ」の	"Today, too."	04/28T09:50:38 ≫ Friday night in Paris
18	2.96	18	19	18	04/28T09:50:40 初日舞台あいさつが行われ	Thursday, April 28 at 10:50 AM, before Monday, "The Paris Pupil's T.H.E. MOVIE" was released.	04/28T09:50:40  The first stage greeting is done
